Thread,Input,Output,Active Cycles,Work Score,Utilization (%)
970,391,77025,447,25.88,0.10
971,968,624454,1385,80.20,0.31
972,210,3064985,210,12.16,0.05
973,884,521143,1392,80.60,0.31
974,786,161553785,899,52.06,0.20
975,1023,356343736,1464,84.77,0.33
976,685,235640,685,39.66,0.15
977,380,96013,380,22.00,0.09
978,976,477750,1116,64.62,0.25
979,812,439137,1044,60.45,0.23
980,176,20533,202,11.70,0.05
981,629,263881,989,57.27,0.22
982,130,8645,130,7.53,0.03
983,387,19245437,499,28.89,0.11
984,233,36139,335,19.40,0.08
985,427,91863,549,31.79,0.12
986,1014,347017189,1594,92.30,0.36
987,712,254639,916,53.04,0.21
988,1019,692437,1603,92.82,0.36
989,132,757985,170,9.84,0.04
990,981,314211030,1122,64.97,0.25
991,695,321553,695,40.24,0.16
992,149,14833,237,13.72,0.05
993,540,52342290,540,31.27,0.12
994,237,4409340,305,17.66,0.07
995,599,239317,943,54.60,0.22
996,890,527473,890,51.53,0.20
997,103,5501,148,8.57,0.03
998,158,16606,227,13.14,0.05
999,150,1113775,150,8.69,0.03
1000,998,663766,1427,82.63,0.33
1001,801,170986800,916,53.04,0.21
1002,1019,692437,1603,92.82,0.37
1003,109,6198,173,10.02,0.04
1004,937,440521,1205,69.77,0.28
1005,1057,560358,1359,78.69,0.31
1006,384,18801034,604,34.97,0.14
1007,523,137771,748,43.31,0.17
1008,690,109265065,690,39.95,0.16
1009,612,76219894,788,45.63,0.18
1010,587,229405,755,43.72,0.17
1011,118,7187,169,9.79,0.04
1012,493,122474,706,40.88,0.16
1013,618,78485752,885,51.24,0.20
1014,405,22061430,405,23.45,0.09
1015,627,81967591,807,46.73,0.19
1016,945,280856520,945,54.72,0.22
1017,671,299713,767,44.41,0.18
1018,591,68633815,676,39.14,0.16
1019,216,3335940,247,14.30,0.06
1020,703,248459,1006,58.25,0.23
1021,473,149041,677,39.20,0.16
1022,163,13598,235,13.61,0.05
1023,104,7231,164,9.50,0.04
